DNI, Nombre, Apellidos, Asiento, Edad, Facturacion
99943116C,MAR,JIMENEZ BARRIOS, 9A, 40, NO
72896057H,IGOR,AREVALO VALDES, 9B, 12, SI
71422028J,ESTELA,MARTINEZ ACOSTA, 9D, 23, NO
40509675M,ANA,ALFARO PASTOR, 9E, 43, NO
91808024M,JAN,MUÑIZ CASADO, 10A, 25, NO
28526649W,AFRICA,TRUJILLO MORAL, 10C, 65, SI
92424141K,MARIA BELEN, SALGADO RUZ, 11A, 12, NO
39955434H,NEREA,SAAVEDRA SAAVEDRA, 11C, 45, NO
07461277P,NEUS,MATEU ALCALA, 11E, 37, SI
85581407V,AMANDA,MORA CAMACHO, 11F, 98, NO
43434284A,KHADIJA,BARRIOS LLORENTE, 20A, 33, NO
93769038Q,JUAN FRANCISCO,MENENDEZ PEINADO, 13C, 42, SI
63666737T,BRUNO,TIRADO SANTOS, 13F, 76, SI
77939315C,JUAN MANUEL,ARENAS ARAUJO, 14B, 34, SI
52290831D,ALEX,SINGH MARQUEZ, 14E, 78, SI
49850590E,GISELA,LOBATO RODRIGO, 14F, 34, SI
10276939X,HERMINIA,SERRANO CORREA, 15B, 54, SI
68380143Q,FERMIN,MARQUES BAUTISTA, 15E, 60, SI

